iter	MultiClass
0	1.050150177
1	1.012718863
2	0.9834964471
3	0.9595153996
4	0.9383600554
5	0.9164165728
6	0.8974162262
7	0.881972517
8	0.8690998558
9	0.8534218862
10	0.8403413893
11	0.8293568236
12	0.8189376615
13	0.8098480389
14	0.8022991105
15	0.79631158
16	0.7901494518
17	0.7810010677
18	0.7743444364
19	0.7689237103
20	0.7641393593
21	0.7600474599
22	0.7569426781
23	0.7529339413
24	0.749700869
25	0.7462907724
26	0.743517673
27	0.7395059022
28	0.7375350996
29	0.7350844648
30	0.7327844048
31	0.7312519056
32	0.7291602701
33	0.7278666187
34	0.7268228666
35	0.7238387503
36	0.7212734753
37	0.7200152062
38	0.7182986357
39	0.7169914913
40	0.7164378794
41	0.7148035657
42	0.7138669393
43	0.7132260409
44	0.712312302
45	0.7116069907
46	0.7108097409
47	0.7097082086
48	0.7072872949
49	0.705811361
50	0.705486726
51	0.7048788423
52	0.7033832669
53	0.7023848047
54	0.7015672513
55	0.7010630936
56	0.7003603083
57	0.6998037923
58	0.6990667471
59	0.6982436428
60	0.6970126998
61	0.6963660331
62	0.6957454608
63	0.695327281
64	0.6942894498
65	0.693691281
66	0.6930931633
67	0.6919665729
68	0.6917571987
69	0.6915211008
70	0.6912280105
71	0.6908611421
72	0.6901340129
73	0.6893111086
74	0.6887664577
75	0.6885406483
76	0.6882936251
77	0.6875478417
78	0.687382858
79	0.6868434312
80	0.6860864049
81	0.6857769429
82	0.6854853882
83	0.6852897249
84	0.6847897608
85	0.6844425496
86	0.6842744711
87	0.6837284548
88	0.6835721974
89	0.6831692757
90	0.6826428026
91	0.6824748215
92	0.6823428227
93	0.6820322731
94	0.6819248381
95	0.6815840954
96	0.6812156077
97	0.6810249986
98	0.6809704703
99	0.6807002382
100	0.6805158474
101	0.6802086267
102	0.6801175047
103	0.6799380354
104	0.6798357123
105	0.6796954556
106	0.679478855
107	0.6793019502
108	0.6788815051
109	0.6786902678
110	0.6780490112
111	0.6778983162
112	0.6774535696
113	0.6771312767
114	0.6766756715
115	0.6765409056
116	0.6763527065
117	0.6759905174
118	0.675578546
119	0.675308877
120	0.6751090741
121	0.6749434522
122	0.6746558182
123	0.6745005722
124	0.6744153808
125	0.6739356782
126	0.6738417763
127	0.6734404974
128	0.673115628
129	0.6729043353
130	0.6727981488
131	0.6722625083
132	0.6720228581
133	0.671639938
134	0.6713821168
135	0.6711480241
136	0.670954452
137	0.6707419319
138	0.6706152608
139	0.6702712162
140	0.6701623734
141	0.6700362893
142	0.6698544776
143	0.6697605479
144	0.6695566181
145	0.6694302422
146	0.6691599195
147	0.6690430987
148	0.6686906929
149	0.6684689706
150	0.6683073534
151	0.668144071
152	0.6678570145
153	0.6676635242
154	0.6675766489
155	0.667323299
156	0.6672807647
157	0.6668401098
158	0.6666944178
159	0.66657758
160	0.6661682635
161	0.666092163
162	0.6660204929
163	0.6658368836
164	0.6657653473
165	0.665717824
166	0.6656030101
167	0.6653981833
168	0.665330141
169	0.6651345196
170	0.6650881692
171	0.6647417115
172	0.6645514203
173	0.6644076393
174	0.6639965615
175	0.6638385279
176	0.6637139967
177	0.6635541882
178	0.6634592431
179	0.6632166599
180	0.6630910395
181	0.6629331549
182	0.6628694152
183	0.6626214111
184	0.662286818
185	0.6621957471
186	0.6621320617
187	0.6618818849
188	0.6616145671
189	0.6614349176
190	0.6613920607
191	0.6613630657
192	0.661273017
193	0.6611117301
194	0.6610627425
195	0.6610202262
196	0.660796256
197	0.660679633
198	0.6605359001
199	0.6604935235
200	0.6603299029
201	0.6602419816
202	0.6601619181
203	0.6600247241
204	0.6598222905
205	0.6597371526
206	0.6596342461
207	0.6594124919
208	0.6593539802
209	0.6592033588
210	0.6591553901
211	0.659077335
212	0.6589668643
213	0.6588560345
214	0.658748721
215	0.6586859852
216	0.6586624915
217	0.6585881573
218	0.6585405347
219	0.6584791541
220	0.6582586367
221	0.6581706647
222	0.6581224693
223	0.657958203
224	0.6578325007
225	0.657723913
226	0.6576381332
227	0.6575573556
228	0.6575059088
229	0.6572536028
230	0.6571636808
231	0.6569402678
232	0.6568727628
