iter	Passed	Remaining
0	2642	2639764
1	5603	2796000
2	8362	2779050
3	10948	2726287
4	13198	2626519
5	15345	2542193
6	17838	2530545
7	20262	2512492
8	22799	2510518
9	25457	2520331
10	28004	2517848
11	30821	2537597
12	33597	2550860
13	36418	2564903
14	39012	2561848
15	41777	2569337
16	44405	2567676
17	46939	2560813
18	49593	2560584
19	52017	2548877
20	54568	2543936
21	57184	2542110
22	59281	2518165
23	61844	2514989
24	64730	2524494
25	67280	2520438
26	70376	2536169
27	73092	2537363
28	75199	2517895
29	77783	2515010
30	80685	2522075
31	83476	2525157
32	86544	2536013
33	89047	2530000
34	91540	2523911
35	94205	2522602
36	96672	2516092
37	99338	2514838
38	101864	2510033
39	104417	2506020
40	106582	2492986
41	109480	2497204
42	111728	2486612
43	114261	2482581
44	117015	2483327
45	119655	2481540
46	120872	2450878
47	123337	2446186
48	126423	2453643
49	129247	2455693
50	131946	2455234
51	134617	2454186
52	137280	2452924
53	139724	2447773
54	142338	2445642
55	145033	2444846
56	147151	2434455
57	149952	2435428
58	152064	2425301
59	154914	2426997
60	158056	2433034
61	160487	2428013
62	163112	2425981
63	165918	2426551
64	168975	2430646
65	171594	2428321
66	174115	2424626
67	176476	2418763
68	179159	2417353
69	181884	2416466
70	184558	2414856
71	187151	2412179
72	190124	2414323
73	192975	2414806
74	195655	2413084
75	198420	2412370
76	201162	2411339
77	204078	2412313
78	206741	2410237
79	209556	2409899
80	212017	2405480
81	214797	2404680
82	217396	2401837
83	220313	2402462
84	223321	2403992
85	226013	2402047
86	228738	2400444
87	231919	2403529
88	234732	2402706
89	237315	2399524
90	240231	2399674
91	243002	2398328
92	245667	2395915
93	248615	2396226
94	251194	2392962
95	253745	2389439
96	256411	2387005
97	259171	2385432
98	261485	2379780
99	263981	2375834
100	266493	2372058
101	269396	2371748
102	272137	2369975
103	274859	2368024
104	277405	2364547
105	280167	2362925
106	282686	2359240
107	285484	2357891
108	287798	2352551
109	290541	2350745
110	293044	2346995
111	295859	2345743
112	298553	2343512
113	301012	2339447
114	303823	2338119
115	306578	2336341
116	309259	2333981
117	312214	2333668
118	314780	2330432
119	317473	2328136
120	320379	2327386
121	323193	2325933
122	325999	2324402
123	328557	2321100
124	331119	2317833
125	334115	2317596
126	336692	2314432
127	339701	2314219
128	342496	2312515
129	345230	2310385
130	347832	2307375
131	350569	2305261
132	353174	2302270
133	355701	2298787
134	358395	2296383
135	360686	2291421
136	363358	2288894
137	366058	2286537
138	368743	2284086
139	371334	2281055
140	373886	2277790
141	376637	2275737
142	379214	2272638
143	381942	2270437
144	384507	2267266
145	387059	2264031
146	389592	2260699
147	392224	2257941
148	395036	2256212
149	397689	2253574
150	400715	2253027
151	403482	2251005
152	406062	2247938
153	408859	2246069
154	411434	2242979
155	414450	2242281
156	416913	2238587
157	419599	2236096
158	422030	2232251
159	424867	2230553
160	427411	2227315
161	430049	2224577
162	432627	2221530
163	435645	2220731
164	438244	2217784
165	440931	2215284
166	443665	2213015
167	446211	2209807
168	448780	2206724
169	451310	2203454
170	454019	2201066
171	456411	2197141
172	459138	2194842
173	461828	2192358
174	464238	2188552
175	466859	2185751
176	469553	2183291
177	472436	2181702
178	474992	2178598
179	477637	2175904
180	480378	2173646
181	482734	2169651
182	485337	2166781
183	487753	2163078
184	490368	2160273
185	493272	2158729
186	495711	2155150
187	498109	2151410
188	501199	2150647
189	503769	2147649
190	506300	2144487
191	508726	2140889
192	511365	2138197
193	513994	2135463
194	516660	2132878
195	519203	2129792
196	521634	2126257
197	524454	2124304
198	527004	2121260
199	529453	2117812
200	532238	2115713
201	534938	2113271
202	537687	2111018
203	540359	2108460
204	542829	2105117
205	545585	2102888
206	547880	2098886
207	550616	2096579
208	553252	2093888
209	556229	2092481
210	558842	2089701
211	561417	2086776
212	564109	2084291
213	567066	2082777
214	569859	2080650
215	572508	2077994
216	575041	2074918
217	577908	2073049
218	580197	2069107
219	582778	2066216
220	585277	2063035
221	587958	2060501
222	590480	2057415
223	593198	2055007
224	595990	2052856
225	598841	2050897
226	601724	2049045
227	604371	2046381
228	606844	2043132
229	609665	2041054
230	612195	2038001
231	615194	2036504
232	617800	2033702
233	620442	2031021
234	623230	2028813
235	625784	2025845
236	628583	2023667
237	631187	2020859
238	634064	2018925
239	636753	2016387
240	638910	2012170
241	641625	2009718
242	644358	2007322
243	647203	2005271
244	650029	2003152
245	652825	2000935
246	655499	1998346
247	657823	1994691
248	660544	1992244
249	663270	1989810
250	665825	1986867
251	668483	1984228
252	671227	1981844
253	673815	1979002
254	676648	1976876
255	679281	1974161
256	682034	1971796
257	684752	1969327
258	687482	1966888
259	690471	1965187
260	692916	1961937
261	695730	1959728
262	698339	1956943
263	700910	1954053
264	703521	1951275
265	706062	1948308
266	708923	1946220
267	711627	1943699
268	714084	1940505
269	716773	1937942
270	719627	1935824
271	722217	1932992
272	725096	1930935
273	727506	1927627
274	730157	1924961
275	732744	1922127
276	735517	1919780
277	738229	1917271
278	740787	1914363
279	743544	1911970
280	746247	1909438
281	748872	1906702
282	751274	1903405
